,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,fallacy of logic,0.4642857142857143,0.7647058823529411,0.5777777777777777,17
1,fallacy of relevance,0.7,0.3181818181818182,0.4375,22
2,appeal to normality,0.0,0.0,0.0,0
3,intentional,0.45454545454545453,0.45454545454545453,0.45454545454545453,11
4,faulty generalization,0.3220338983050847,0.9193548387096774,0.4769874476987448,62
5,miscellaneous,0.0,0.0,0.0,2
6,ad hominem,0.3333333333333333,0.925,0.490066225165563,40
7,fallacy of extension,0.45454545454545453,0.4,0.4255319148936171,25
8,circular reasoning,0.5,0.6875,0.5789473684210527,16
9,appeal to emotion,0.3157894736842105,0.6666666666666666,0.42857142857142855,18
10,false causality,0.28,0.7368421052631579,0.40579710144927544,19
11,false dilemma,0.6842105263157895,1.0,0.8125000000000001,13
12,fallacy of credibility,0.5294117647058824,0.5294117647058824,0.5294117647058824,17
13,ad populum,0.5178571428571429,0.90625,0.6590909090909092,32
14,equivocation,1.0,0.16666666666666666,0.2857142857142857,6
