,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,faulty generalization,0.5555555555555556,0.819672131147541,0.6622516556291391,61
1,circular reasoning,0.2318840579710145,0.8421052631578947,0.36363636363636365,19
2,fallacy of logic,0.3448275862068966,0.7142857142857143,0.46511627906976755,14
3,intentional,0.13846153846153847,0.6,0.22499999999999998,15
4,fallacy of credibility,0.38461538461538464,0.5882352941176471,0.46511627906976744,17
5,ad populum,0.7222222222222222,0.8666666666666667,0.7878787878787877,30
6,equivocation,0.0,0.0,0.0,5
7,false dilemma,0.5882352941176471,0.8333333333333334,0.6896551724137931,12
8,fallacy of relevance,0.55,0.4583333333333333,0.5,24
9,fallacy of extension,0.5555555555555556,0.7142857142857143,0.6250000000000001,21
10,false causality,0.35,0.7777777777777778,0.48275862068965514,18
11,appeal to emotion,0.7857142857142857,0.4782608695652174,0.5945945945945946,23
12,ad hominem,0.546875,0.8536585365853658,0.6666666666666667,41
