,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,fallacy of relevance,0.125,0.42105263157894735,0.1927710843373494,19
1,faulty generalization,0.09433962264150944,0.23809523809523808,0.13513513513513511,21
2,fallacy of logic,0.0,0.0,0.0,9
3,fallacy of credibility,0.23404255319148937,0.4230769230769231,0.3013698630136986,26
4,circular reasoning,0.0,0.0,0.0,0
5,fallacy of extension,0.06086956521739131,0.7,0.11200000000000002,10
6,equivocation,0.5,0.2,0.28571428571428575,5
7,intentional,0.3448275862068966,0.2898550724637681,0.3149606299212599,69
8,ad populum,0.0,0.0,0.0,14
9,false causality,0.15789473684210525,0.6,0.25,10
10,false dilemma,0.0,0.0,0.0,8
11,appeal to emotion,0.22727272727272727,0.21739130434782608,0.22222222222222224,23
12,ad hominem,0.3076923076923077,0.4,0.34782608695652173,10
