,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,false causality,0.0,0.0,0.0,10
1,fallacy of credibility,0.0,0.0,0.0,26
2,appeal to emotion,0.0,0.0,0.0,23
3,fallacy of logic,0.0,0.0,0.0,9
4,ad populum,0.0,0.0,0.0,14
5,faulty generalization,0.0,0.0,0.0,21
6,fallacy of extension,0.0,0.0,0.0,10
7,circular reasoning,0.0,0.0,0.0,0
8,intentional,0.350253807106599,1.0,0.518796992481203,69
9,equivocation,0.0,0.0,0.0,5
10,false dilemma,0.0,0.0,0.0,8
11,ad hominem,0.0,0.0,0.0,10
12,fallacy of relevance,0.0,0.0,0.0,19
