,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,faulty generalization,0.10734463276836158,0.9047619047619048,0.19191919191919193,21
1,fallacy of extension,0.12,0.3,0.17142857142857143,10
2,fallacy of relevance,0.1,1.0,0.18181818181818182,19
3,circular reasoning,0.0,0.0,0.0,0
4,ad hominem,0.10869565217391304,0.5,0.17857142857142855,10
5,appeal to emotion,0.16428571428571428,1.0,0.2822085889570552,23
6,ad populum,0.0,0.0,0.0,14
7,fallacy of credibility,0.13709677419354838,0.6538461538461539,0.22666666666666666,26
8,false causality,0.0,0.0,0.0,10
9,false dilemma,0.0,0.0,0.0,8
10,equivocation,0.0,0.0,0.0,5
11,fallacy of logic,0.03571428571428571,0.2222222222222222,0.06153846153846154,9
12,intentional,0.350253807106599,1.0,0.518796992481203,69
