,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,fallacy of relevance,0.11475409836065574,0.3684210526315789,0.175,19
1,faulty generalization,0.1375,0.5238095238095238,0.21782178217821782,21
2,false dilemma,0.0,0.0,0.0,8
3,circular reasoning,0.0,0.0,0.0,0
4,fallacy of extension,0.08695652173913043,0.2,0.12121212121212122,10
5,appeal to emotion,0.0,0.0,0.0,23
6,equivocation,0.0,0.0,0.0,5
7,fallacy of logic,0.11764705882352941,0.2222222222222222,0.15384615384615383,9
8,ad populum,0.0,0.0,0.0,14
9,false causality,0.072,0.9,0.13333333333333333,10
10,intentional,0.3548387096774194,0.3188405797101449,0.33587786259541985,69
11,fallacy of credibility,0.14285714285714285,0.19230769230769232,0.16393442622950818,26
12,ad hominem,0.21428571428571427,0.3,0.25,10
