,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,fallacy of credibility,0.0,0.0,0.0,26
1,circular reasoning,0.0,0.0,0.0,0
2,fallacy of logic,0.0,0.0,0.0,9
3,equivocation,0.0,0.0,0.0,5
4,false dilemma,0.0,0.0,0.0,8
5,fallacy of relevance,0.0,0.0,0.0,19
6,intentional,0.3520408163265306,1.0,0.5207547169811321,69
7,appeal to emotion,0.11734693877551021,1.0,0.21004566210045664,23
8,faulty generalization,0.11731843575418995,1.0,0.21000000000000002,21
9,fallacy of extension,0.0,0.0,0.0,10
10,ad populum,0.0,0.0,0.0,14
11,false causality,0.0,0.0,0.0,10
12,ad hominem,0.0,0.0,0.0,10
