,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,appeal to emotion,0.5,0.391304347826087,0.4390243902439025,23
1,false causality,0.45,0.5,0.4736842105263158,18
2,ad populum,0.84,0.7,0.7636363636363636,30
3,circular reasoning,0.5,0.47368421052631576,0.4864864864864865,19
4,fallacy of relevance,0.5,0.16666666666666666,0.25,24
5,faulty generalization,0.65,0.639344262295082,0.6446280991735538,61
6,ad hominem,0.66,0.8048780487804879,0.7252747252747254,41
7,fallacy of extension,0.6666666666666666,0.6666666666666666,0.6666666666666666,21
8,equivocation,0.0,0.0,0.0,5
9,fallacy of logic,0.46153846153846156,0.42857142857142855,0.4444444444444445,14
10,fallacy of credibility,0.3783783783783784,0.8235294117647058,0.5185185185185186,17
11,intentional,0.42857142857142855,0.4,0.4137931034482759,15
12,false dilemma,0.6875,0.9166666666666666,0.7857142857142857,12
