,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,intentional,0.17391304347826086,0.5333333333333333,0.26229508196721313,15
1,fallacy of logic,0.16666666666666666,0.5714285714285714,0.25806451612903225,14
2,ad populum,0.6744186046511628,0.9666666666666667,0.7945205479452055,30
3,fallacy of credibility,0.5882352941176471,0.5882352941176471,0.5882352941176471,17
4,faulty generalization,0.47619047619047616,0.819672131147541,0.6024096385542168,61
5,fallacy of relevance,0.37037037037037035,0.4166666666666667,0.39215686274509803,24
6,circular reasoning,0.35135135135135137,0.6842105263157895,0.4642857142857143,19
7,appeal to emotion,0.48,0.5217391304347826,0.4999999999999999,23
8,equivocation,1.0,0.2,0.33333333333333337,5
9,false causality,0.625,0.5555555555555556,0.5882352941176471,18
10,false dilemma,0.39285714285714285,0.9166666666666666,0.55,12
11,fallacy of extension,0.375,0.7142857142857143,0.4918032786885245,21
12,ad hominem,0.7291666666666666,0.8536585365853658,0.7865168539325843,41
