,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,intentional,0.24581005586592178,1.0,0.39461883408071746,44
1,fallacy of credibility,0.25,0.45,0.32142857142857145,20
2,false dilemma,0.16666666666666666,0.16666666666666666,0.16666666666666666,6
3,appeal to emotion,0.23404255319148937,0.8461538461538461,0.36666666666666675,26
4,equivocation,0.0,0.0,0.0,4
5,faulty generalization,0.1656441717791411,0.9642857142857143,0.2827225130890052,28
6,fallacy of relevance,0.12727272727272726,0.3181818181818182,0.18181818181818182,22
7,fallacy of logic,0.09322033898305085,0.6470588235294118,0.16296296296296298,17
8,ad populum,0.05,0.2,0.08000000000000002,5
9,false causality,0.15151515151515152,0.3125,0.20408163265306123,16
10,ad hominem,0.4166666666666667,0.6666666666666666,0.5128205128205129,15
11,fallacy of extension,0.0,0.0,0.0,5
12,circular reasoning,0.0,0.0,0.0,1
