,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,intentional,0.39335180055401664,0.44936708860759494,0.41949778434268836,316
1,fallacy of credibility,0.24210526315789474,0.7076923076923077,0.36078431372549025,130
2,false dilemma,0.2,0.0625,0.09523809523809523,48
3,appeal to emotion,0.2555205047318612,0.5955882352941176,0.3576158940397351,136
4,equivocation,0.07142857142857142,0.07407407407407407,0.07272727272727272,27
5,faulty generalization,0.17562724014336917,0.37404580152671757,0.2390243902439024,131
6,fallacy of relevance,0.09967320261437909,0.6039603960396039,0.17110799438990185,101
7,fallacy of logic,0.10144927536231885,0.16279069767441862,0.125,86
8,ad populum,0.12698412698412698,0.12698412698412698,0.12698412698412698,63
9,false causality,0.11992263056092843,0.8493150684931506,0.21016949152542372,73
10,ad hominem,0.5,0.43333333333333335,0.4642857142857143,90
11,fallacy of extension,0.3103448275862069,0.14754098360655737,0.2,61
12,circular reasoning,0.03636363636363636,0.2857142857142857,0.06451612903225805,7
