,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,intentional,0.0,0.0,0.0,44
1,fallacy of credibility,0.0,0.0,0.0,20
2,false dilemma,0.0,0.0,0.0,6
3,appeal to emotion,0.0,0.0,0.0,26
4,equivocation,0.0,0.0,0.0,4
5,faulty generalization,0.0,0.0,0.0,28
6,fallacy of relevance,0.0,0.0,0.0,22
7,fallacy of logic,0.0,0.0,0.0,17
8,ad populum,0.0,0.0,0.0,5
9,false causality,0.0,0.0,0.0,16
10,ad hominem,0.0,0.0,0.0,15
11,fallacy of extension,0.0,0.0,0.0,5
12,circular reasoning,0.0,0.0,0.0,1
