fallacy_name,alternative_names
Appeal to probability,
Argument from fallacy,the fallacy fallacy
Base rate fallacy,
Conjunction fallacy,
Non-sequitur fallacy,
Masked-man fallacy,illicit substitution of identicals
Affirming a disjunct,
Affirming the consequent,
Denying the antecedent,
Existential fallacy,
Affirmative conclusion from a negative premise,illicit negative
Fallacy of exclusive premises,
Fallacy of four terms,quaternio terminorum
Illicit major,
Illicit minor,
Negative conclusion from affirmative premises,illicit affirmative
Fallacy of the undistributed middle,
Modal fallacy,
Modal scope fallacy,
Argument to moderation,false compromise; middle ground; fallacy of the mean; argumentum ad temperantiam
Continuum fallacy,fallacy of the beard; line-drawing fallacy; sorites fallacy; fallacy of the heap; bald man fallacy; decision-point fallacy
Correlative-based fallacies,
Suppressed correlative,
Definist fallacy,
Divine fallacy,argument from incredulity
Double counting,
Equivocation,
Ambiguous middle term,
Definitional retreat,
Motte-and-bailey fallacy,
Fallacy of accent,
Persuasive definition,
Ecological fallacy,
Etymological fallacy,
Fallacy of composition,
Fallacy of division,
False attribution,
Fallacy of quoting out of context,contextotomy; contextomy; quotation mining
False authority,single authority
False dilemma,false dichotomy; fallacy of bifurcation; black-or-white fallacy
False equivalence,
Feedback fallacy,
Historian's fallacy,
Historical fallacy,
Baconian fallacy,
Homunculus fallacy,
Incomplete comparison,
Inconsistent comparison,
Intentionality fallacy,
Kettle logic,
Ludic fallacy,
Lump of labour fallacy,
McNamara fallacy,quantitative fallacy
Mind projection fallacy,
Moralistic fallacy,
Moving the goalposts,raising the bar
Nirvana fallacy,perfect-solution fallacy
Package deal,
Proof by assertion,
Prosecutor's fallacy,
Proving too much,
Psychologist's fallacy,
Referential fallacy,
Reification,concretism; hypostatization; the fallacy of misplaced concreteness
Retrospective determinism,
Slippery slope,thin edge of the wedge; camel's nose
Special pleading,
Begging the question,petitio principii
Loaded label,
Circular reasoning,circulus in demonstrando
Fallacy of many questions,complex question; fallacy of presuppositions; loaded question; plurium interrogationum
Accident,
No true Scotsman,
Cherry picking,suppressed evidence; incomplete evidence; argument by half-truth; fallacy of exclusion; card stacking; slanting
Survivorship bias,
False analogy,
Hasty generalization,fallacy of insufficient statistics; fallacy of insufficient sample; fallacy of the lonely fact; hasty induction; secundum quid; converse accident; jumping to conclusions
Inductive fallacy,
Misleading vividness,
Nut-picking,suppressed evidence; incomplete evidence
Overwhelming exception,
Thought-terminating cliché,
Cum hoc ergo propter hoc,with this therefore because of this; correlation implies causation; faulty cause/effect; coincidental correlation; correlation without causation
Post hoc ergo propter hoc,after this therefore because of this; temporal sequence implies causation
Wrong direction,reverse causation
Ignoring a common cause,
Fallacy of the single cause,causal oversimplification
Furtive fallacy,
Gambler's fallacy,
Inverse gambler's fallacy,
Magical thinking,
Regression fallacy,
Appeal to the stone,argumentum ad lapidem
Argument from ignorance,appeal to ignorance; argumentum ad ignorantiam
Argument from incredulity,appeal to common sense
Argument from repetition,argumentum ad nauseam; argumentum ad infinitum; argumentum ad nauseam; argumentum ad infinitum
Argument from silence,argumentum ex silentio
Ignoratio elenchi,irrelevant conclusion; missing the point
Ad hominem,
Circumstantial ad hominem,
Poisoning the well,
Appeal to motive,
Tone policing,
Traitorous critic fallacy,ergo decedo; thus leave
Appeal to authority,argument from authority; argumentum ad verecundiam
Appeal to accomplishment,
Courtier's reply,
Appeal to consequences,argumentum ad consequentiam
Appeal to emotion,
Appeal to fear,
Appeal to flattery,
Appeal to pity,argumentum ad misericordiam
Appeal to ridicule,reductio ad ridiculum; reductio ad absurdum; ad absurdum
Appeal to spite,
Judgmental language,
Pooh-pooh,
Wishful thinking,
Appeal to nature,
Appeal to novelty,argumentum novitatis; argumentum ad antiquitatis
Appeal to poverty,argumentum ad Lazarum
Appeal to tradition,argumentum ad antiquitatem
Appeal to wealth,argumentum ad crumenam
Argumentum ad baculum,appeal to the stick; appeal to force; appeal to threat
Argumentum ad populum,appeal to widespread belief; bandwagon argument; appeal to the majority; appeal to the people
Association fallacy,guilt by association and honor by association
Logic chopping fallacy,nit-picking; trivial objections
Ipse dixit,bare assertion fallacy
Bulverism,psychogenetic fallacy
Chronological snobbery,
Fallacy of relative privation,appeal to worse problems; not as bad as
Genetic fallacy,
I'm entitled to my opinion,
Naturalistic fallacy,
Is–ought fallacy,
Naturalistic fallacy fallacy,anti-naturalistic fallacy
Straw man fallacy,
Texas sharpshooter fallacy,
Tu quoque,you too
Two wrongs make a right,
Vacuous truth,
red herring,
