,Source URL,Sentence (or small snippets of text),"Logical Fallacy Types
Key separators: "" & "" to connect multiple logical fallacies, 
"" > "" to connect hierarchies of logical fallacy types, and 
"" / "" to connect synonyms of each other",Explanations,Exception,Logical Form,Definition,Tips,Other_name
0,https://www.logicallyfallacious.com/logicalfallacies/Accent-Fallacy," In the movie, My Cousin Vinny, Ralph Maccio's character, Bill, was interrogated for suspected murder. When the police officer asks him, ""At what point did you shoot the clerk?"" Bill replies in shock, ""I shot the clerk? I shot the clerk?"" Later in the film, the police officer reads Bill's statement as a confession in court, ""...and he said, 'I shot the clerk. I shot the clerk.'""",Accent Fallacy," In the movie, it appeared that the police officer did understand Bill's question as a confession. So it did not appear to be a fallacious tactic of the police officer, rather a failure of critical thought perhaps due to a strong confirmation bias (the officer was very confident that Bill was guilty, thus failed to detect the nuance in the question).",,"Claim is made with accent on word X giving claim meaning Y.
Claim is interpreted with accent on word A giving claim meaning B."," When the meaning of a word, sentence, or entire idea is interpreted differently by changing where the accent falls.",,"  emphasis fallacy, fallacy of accent, fallacy of prosody, misleading accent)"
1,https://www.logicallyfallacious.com/logicalfallacies/Accent-Fallacy," In the hilarious Broadway musical, The Book of Mormon, there is a musical number where one character is explaining how to bury ""bad thoughts"" by just ""turning them off"" (like a light switch). The character doing the explaining (in glorious song) is specifically explaining to the main character how to suppress gay thoughts when the main character's ""bad thoughts"" have nothing to do with being gay. After the instructions, the main character tries to make this clear by affirming, ""I'm not having gay thoughts,"" to which the other characters respond ""Hurray! It worked!""",Accent Fallacy," The stress on the ""I'm"" was ignored and confused for ""Hey, I'm not having gay thoughts anymore!"" Although this was comedy it portrayed an argument.",,,,,
2,https://www.logicallyfallacious.com/logicalfallacies/Accident-Fallacy,"I believe one should never deliberately hurt another person, that’s why I can never be a surgeon.",Accident Fallacy," Classifying surgery under “hurting” someone, is to ignore the obvious benefits that go with surgery.  These kinds of extreme views are rarely built on reason."," Stating the general rule when a good argument can be made that the action in question is a violation of the rule, would not be considered fallacious.
The Bible says, “Thou shall not murder,” therefore, as a Christian, you better put that chainsaw down and untie that little kid.","X is a common and accepted rule.
Therefore, there are no exceptions to X."," When an attempt is made to apply a general rule to all situations when clearly there are exceptions to the rule. Simplistic rules or laws rarely take into consideration legitimate exceptions, and to ignore these exceptions is to bypass reason to preserve the illusion of a perfect law.  People like simplicity and would often rather keep simplicity at the cost of rationality.",," destroying the exception, dicto secundum quid ad dictum simpliciter, dicto simpliciter, converse accident, reverse accident, fallacy of the general rule, sweeping generalization)"
3,https://www.logicallyfallacious.com/logicalfallacies/Accident-Fallacy,"The Bible clearly says, “Thou shall not bear false witness.” Therefore, as a Christian, you better answer the door and tell our drunk neighbor with the shotgun, that his wife, whom he is looking to kill, is hiding in our basement. Otherwise, you are defying God himself!",Accident Fallacy," To assume any law, even divine, applies to every person, in every time, in every situation, even though not explicitly stated, is an assumption not grounded in evidence, and fallacious reasoning.",,,,,
4,https://www.logicallyfallacious.com/logicalfallacies/Ad-Fidentia,"Rick: I had a dream last night that I won the lottery!  I have $1000 saved up, so I am buying 1000 tickets!
Vici: You know, dreams are not accurate ways to predict the future; they are simply the result of random neurons firing.
Rick: The last time I checked, you are no neurologist or psychologist, so how sure are you that I am not seeing the future?
Vici: It’s possible you can be seeing the future, I guess.
",Ad Fidentia," Although Vici is trying to reason with his friend, Rick attempts to weaken Vici’s argument by making Vici more unsure of his position.  This is a fallacious tactic by Rick, and if Vici falls for it, fallacious reasoning on his part."," When one claims certainty for something where certainty is unknowable, it is your duty to point it out.","Person 1 claims that Y is true, but is person 1 really sure about that?
Therefore, Y is false.", Attacking the person’s self-confidence in place of the argument or the evidence.,, against self-confidence)
5,https://www.logicallyfallacious.com/logicalfallacies/Ad-Fidentia,"Chris: You claim that you don’t believe in the spirit world that is all around us, with spirits coming in and out of us all the time.  How can you be sure this is not the case?  Are you 100% certain?
Joe: Of course not, how can I be?
Chris: Exactly! One point for me!
Joe: What?
",Ad Fidentia," This is a common fallacy among those who argue for the supernatural or anything else not falsifiable.  If Joe was not that reasonable of a thinker, then he might start to question the validity of his position, not based on any new counter evidence presented, but a direct attack on his self-confidence.  Fortunately for Joe, he holds no dogmatic beliefs and is perfectly aware of the difference between possibilities and probabilities (see also appeal to possibility).",,,,,
6,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hoc-Rescue,"Frieda: I just know that Raymond is just waiting to ask me out.
Edna: He has been seeing Rose for three months now.
Frieda: He is just seeing her to make me jealous.
Edna: They’re engaged.
Frieda: Well, that’s just his way of making sure I know about it.
",Ad Hoc Rescue," Besides being a bit deluded, poor Frieda refuses to accept the evidence that leads to a truth she is not ready to accept.  As a result, she creates an ad hoc reason in an attempt to rescue her initial claim."," Proposing possible solutions is perfectly acceptable when an argument is suggesting only a possible solution -- especially in a hypothetical situation. For example, “If there is no God, then life is meaningless.”  If there is no God who dictates meaning to our lives, perhaps we are truly free to find our own meaning.","Claim X is true because of evidence Y.
Evidence Y is demonstrated not to be acceptable evidence.
Therefore, it must be guess Z then, even though there is no evidence for guess Z."," Very often we desperately want to be right and hold on to certain beliefs, despite any evidence presented to the contrary.  As a result, we begin to make up excuses as to why our belief could still be true, and is still true, despite the fact that we have no real evidence for what we are making up.",," making stuff up, MSU fallacy)"
7,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hoc-Rescue,"Mark: The president of the USA is the worst president ever because unemployment has never been so bad before!
Sam: Actually, it was worse in 1982 and far worse in the 1930s.  Besides, the president might only be partly responsible for the economy during his term.
Mark: Well... the president kicks animals when nobody is looking.
",Ad Hoc Rescue," Out of desperation, Mark makes a claim about the president's private treatment of animals after his original claim has been refuted.",,,,,
8,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Abusive,My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry’s each night!,Ad Hominem (Abusive)," The fact that the woman loves her ice cream, has nothing to do with the lowering of taxes, and therefore, is irrelevant to the argument.  Ad hominem attacks are usually made out of desperation when one cannot find a decent counter argument."," When the attack on the person is relevant to the argument, it is not a fallacy.  In our first example, if the issue being debated was the elimination of taxes only on Ben and Jerry’s ice cream, then pointing out her eating habits would be strong evidence of a conflict of interest.","Person 1 is claiming Y.
Person 1 is a moron.
Therefore, Y is not true."," Attacking the person making the argument, rather than the argument itself, when the attack on the person is completely irrelevant to the argument the person is making.",,"  personal abuse, personal attacks, abusive fallacy, appeal to the person, damning the source, name calling, refutation by caricature, against the person, against the man)"
9,https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Abusive,"Tony wants us to believe that the origin of life was an “accident”.  Tony is a godless SOB who has spent more time in jail than in church, so the only information we should consider from him is the best way to make license plates.",Ad Hominem (Abusive)," Tony may be a godless SOB.  Perhaps he did spend more time in the joint than in church, but all this is irrelevant to his argument or truth of his claim as to the origin of life.",,,,,
