Source URL,"Logical Fallacy Types
Key separators: "" & "" to connect multiple logical fallacies, 
"" > "" to connect hierarchies of logical fallacy types, and 
"" / "" to connect synonyms of each other",Sentence (or small snippets of text),Explanations,Logical Form,Definition
https://www.mindtools.com/pages/article/newTMC_81.htm,Appeals to Authority & False Inductions,"In a study designed by a famous academic to test the effects of pleasant imagery on motivation, employees were shown images of baby animals and beautiful nature scenes for their first five minutes at work.

Amazingly, results showed a 10 percent leap in profits in the first quarter and record earnings over the course of a year. So, showing employees pleasant images is a great way to increase their motivation and improve productivity",,,
https://www.mindtools.com/pages/article/newTMC_81.htm,Slippery Slope,"If we allow Susan to leave early, soon we'll be giving everyone Friday afternoon off.",,,
https://www.mindtools.com/pages/article/newTMC_81.htm,Bandwagon Fallacy,We surveyed all the customers in the store and they all agreed that staying open 24 hours would be a great idea. We need to put together a 24-hour schedule as soon as possible.,,,
https://www.mindtools.com/pages/article/newTMC_81.htm,False Dichotomy Fallacy,We as the Board can either choose to approve this initial public offering or we can suffer slow annihilation at the hands of our competitors.,,,
https://www.mindtools.com/pages/article/newTMC_81.htm,Straw Man Fallacy,"A local politician plans to expand the municipality's cycle network and to add several new speed cameras in densely populated areas. Their opponent says, ""They want us all to give up driving forever. They're punishing the honest car owners and commuters that help pay these politicians' salaries.""",,,
https://www.mindtools.com/pages/article/newTMC_81.htm,The No True Scotsman Fallacy / appeal to purity,"Andy states that a Scotsman would never put sugar on his porridge. Dougal replies that he is a Scotsman and he does put sugar on his porridge. Andy counters that no true Scotsman puts sugar on his porridge.

Andy thus changes the terms of the argument, implying that Dougal is not a ""true"" Scotsman in order to support his own position.",,,
https://www.mindtools.com/pages/article/newTMC_81.htm,Observational Selection,"I know that our TV advertisements are more effective than radio. The numbers show that we hit twice the audience with TV, and our focus groups remember the TV commercial 38 percent more than the radio slot.",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Ad Hominem,What can our new math teacher know? Have you seen how fat she is?,,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Appeal to Authority,"“I admire the president for being a good role model.” REPLY: “But the New York Times says he’s a lousy role model, so you’re wrong.”",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Appeal to Authority,“The purpose of the Cadet Program is to prepare youth for Air Force Basic Military Training.” REPLY: “This is true because I heard it from the Wing Commander.”,,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Post Hoc,"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein.",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Post Hoc,"Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life.",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Appeal to Tradition,"If we allow cadets to apply for encampment online, we’d save everyone lots of headaches. REPLY: No. We’ve always made cadets apply using a paper form.",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Appeal to Tradition,"We should offer movies on our company’s website. REPLY: No, we’ve built our company’s fortune by renting movies only through our stores.",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Red Herring,We should present Cadet Curry with our squadron’s cadet of the year award. He’s the most active and highest-performing cadet we have. REPLY: But Cadet Arnold has been in CAP longer.,,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Red Herring,"I know you want to imprison me for having murdered my parents, but judge, have mercy on me, I’m an orphan!",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Weak Analogy,"Hybrid cars are like solar power, full of promise but too expensive. We’ll never be able to build affordable hybrid cars.",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Weak Analogy,Encampment is like basic training. It’s CAP’s equivalent to Boot Camp.,,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Straw Man,We should prohibit all cadets from assisting on emergency services missions. Some cadets are so immature they won’t ever stop goofing around.,,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Straw Man,Senator Curry is against the new F-99 laser fighter. I’m for it because I don’t want to leave America defenseless.,,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Circular Argument,“You can’t give me a C. I’m an A student!”,,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Circular Argument,“Honesty is defined as always being honest.”,,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,False Dilemma,"“Are you going to do well in school, or are you going to succeed as a cadet?”",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,False Dilemma,"“We can give cadets awards for doing well, or we can have a disciplined squadron. We can’t do both.”",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Slippery Slope,"Major in English in college, start reading poetry, and next thing you know, you will become an unemployed pot-smoking loser.",,,
https://www.gocivilairpatrol.com/media/cms/LLP2_D552C79A65CD2.pdf,Slippery Slope,Never be kind and generous to the poor. They’ll come to expect your help always and never learn to contribute to society.,,,
https://cdn.annenbergclassroom.org/wp-content/uploads/student.handout.common.fallacies2.pdf,Genetic Fallacy,"You think labor unions are good? You know who else liked labor unions? Karl Marx, that’s who.",The argument rejects labor unions on the grounds that Marx liked unions without making any reference to any of the present arguments for or against labor unions.,,
https://cdn.annenbergclassroom.org/wp-content/uploads/student.handout.common.fallacies2.pdf,Red Herring,You say that Coach Smith pressured teachers to give his students passing grades. But don’t you agree that athletics are important to schools? Don’t they build character?,The speaker shifts the subject from Coach Smith’s actions to the importance of athletics,,
https://cdn.annenbergclassroom.org/wp-content/uploads/student.handout.common.fallacies2.pdf,Straw Man,"Feminism is part of “a socialist, anti-family political movement that encourages women to leave their husbands, kill their children, practice witchcraft, destroy capitalism and become lesbians.” (Statement from Pat Robertson)","Well certainly we’d have good reason to oppose a political movement of that sort; fortunately, though, feminism does not hold any of those things.",,
https://cdn.annenbergclassroom.org/wp-content/uploads/student.handout.common.fallacies2.pdf,False Cause,"Dan White ate a lot of Twinkies and then killed the Mayor of San Francisco. If I were a mayor, I’d ban Twinkies so no one would kill me.","The argument assumes that eating Twinkies somehow causes mayors to be assassinated when no such causal connection has been demonstrated. (Note that White’s actual murder trial did invoke Twinkies as part of a diminished capacity argument, leading to what is now known as “the Twinkie defense.” Contrary to legend, however, the defense did not really argue that Twinkies caused White to commit murder. Details are available here.)",,
