,Unnamed: 0,original_url,source_article,logical_fallacies,masked_articles
0,0,https://archive.thinkprogress.org/no-el-nino-still-hot-39162a5cc5bc/,"Normally , the hottest years on record occur when the underlying human-caused global warming trend gets a temporary boost from an El Niño ’ s enhanced warming in the tropical Pacific . So it ’ s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago . The National Oceanic and Atmospheric Administration ( NOAA ) reported Tuesday that the first half of 2017 was the second-warmest January-June on record for Earth , topped only by 2016 , which was boosted by one of the biggest El Niños on record . “ As if it wasn ’ t shocking enough to see three consecutive record-breaking years , in 2014 , 2015 , and 2016 , for the first time on record , ” leading climatologist Michael Mann wrote in an email to ThinkProgress , “ we ’ re now seeing near-record temperatures even in the absence of the El Nino ‘ assist ’ that the previous record year benefited from . ”",appeal to emotion,"Normally , the hottest MSK<0> on MSK<1> occur when the underlying human-caused global MSK<2> trend gets a temporary MSK<3> from an MSK<4> MSK<5> MSK<6> s enhanced MSK<2> in the tropical Pacific . So it MSK<6> s been a surprise to MSK<7>  that MSK<0> has been so remarkably MSK<2> — because the last MSK<4> MSK<5> ended a MSK<0> ago . The National Oceanic and Atmospheric Administration ( NOAA ) reported Tuesday that the first half of MSK<0> was the second-warmest January - June on MSK<1> for Earth , topped only by MSK<0> , which was MSK<3> by one of the biggest MSK<4> MSK<5> on MSK<1> . MSK<6> As if it wasn MSK<6> t shocking enough to see three consecutive MSK<1> breaking MSK<0> , in MSK<0> , MSK<0> , and MSK<0> , for the first time on MSK<1> , MSK<6> leading MSK<7> Michael Mann wrote in an email to ThinkProgress , MSK<6> we MSK<6> re now seeing near-record temperatures even in the absence of the MSK<4> MSK<5> MSK<6> assist MSK<6> that the previous MSK<1> MSK<0> benefited from . MSK<6> "
1,1,https://archive.thinkprogress.org/no-el-nino-still-hot-39162a5cc5bc/,"The latest NOAA report is “ a reminder that climate change has not , despite the insistence of climate contrarians ‘ paused ’ or even slowed down , ” Mann said . Bottom line : Human-caused global warming continues at a dangerous pace , and only human action to slash carbon pollution can stop it .",appeal to emotion,"The latest NOAA report is MSK<0> a reminder that MSK<1> change has not , despite the insistence of MSK<1> contrarians MSK<0> paused MSK<0> or even slowed down , MSK<0> Mann said . Bottom line : Human-caused global warming continues at a dangerous pace , and only human action to slash carbon pollution can stop it . "
2,2,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"Forget what global warming activists would lead you to believe – 2015 was not even close to the hottest year on record . Satellite temperature readings going back to 1979 show 1998 was by far the warmest year in the satellite era , followed by 2010 . 2015 comes in third . And these results are only for the period since 1979 .",fallacy of logic,"Forget what global MSK<4> activists would lead you to believe – MSK<0> was not even close to the hottest MSK<1> on record . MSK<2> temperature readings going back to MSK<3> show 1998 was by far the MSK<4> MSK<1> in the MSK<2> era , followed by 2010 . MSK<0> comes in third . And these results are only for the period since MSK<3> . "
3,3,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"Indeed , if a record strong El Nino can not bring global temperatures back to the warmth of 1998 , what can – and when will that be ? 18 years after 1998 , global warming still has not created the runaway warming we were told to expect . Of course , it is not too difficult for activists to paint a picture of an exceptionally warm world – record El Nino or not – when they conveniently define “ the record ” as merely extending back to the late 1800s . Global warming activists do not extend “ the record ” back any further , they say , because it has only been since the late 1800s that we have had a global network of mercury thermometers .",ad populum,"Indeed , if a MSK<0> strong MSK<1> MSK<2> can not bring MSK<3> temperatures back to the MSK<6> of MSK<4> , what can MSK<5> and when will that be ? 18 years after MSK<4> , MSK<3> MSK<6> still has not created the runaway MSK<6> we were told to expect . Of course , it is not too difficult for MSK<7> to paint a picture of an exceptionally MSK<6> world MSK<5> MSK<0> MSK<1> MSK<2> or not MSK<5> when they conveniently define MSK<8> the MSK<0> MSK<8> as merely MSK<9> back to the MSK<10> MSK<11> . MSK<3> MSK<6> MSK<7> do not MSK<9> MSK<8> the MSK<0> MSK<8> back any further , they say , because it has only been since the MSK<10> MSK<11> that we have had a MSK<3> network of mercury thermometers . "
4,4,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"Data from these surface temperature stations should be afforded more confidence than data from more suspect locations and stations . As I recently reported at Forbes.com , a study presented last month at the American Geophysical Union found that well-sited and well-maintained stations report significantly less warming than the surface station network as a whole . Government overseers collect the raw temperature data from the full network of surface stations and then produce temperature summaries for public distribution . One would expect that the government overseers would simply report the raw data that was collected . In the alternative , one might expect the government overseers to adjust the recent temperature data downward to reflect the false warming signal of creeping urbanization and the studies showing uncorrupted surface temperature stations report less warming than the full network of corrupted and uncorrupted temperature stations .",fallacy of credibility,"Data from these MSK<0> MSK<1> MSK<2> should be afforded more confidence than MSK<3> from more suspect locations and MSK<2> . As I MSK<14> MSK<4> at Forbes.com , a MSK<5> presented last month at the American Geophysical Union found that well -sited and well - maintained MSK<2> MSK<4> significantly less MSK<6> than the MSK<0> MSK<2> MSK<7> as a whole . MSK<8> MSK<9> MSK<10> the MSK<11> MSK<1> MSK<3> from the full MSK<7> of MSK<0> MSK<2> and then produce MSK<1> summaries for public distribution . One would MSK<12> that the MSK<8> MSK<9> would simply MSK<4> the MSK<11> MSK<3> that was MSK<10> . In the alternative , one might MSK<12> the MSK<8> MSK<9> to adjust the MSK<14> MSK<1> MSK<3> downward to reflect the false MSK<6> signal of creeping urbanization and the MSK<5> showing MSK<13> MSK<0> MSK<1> MSK<2> MSK<4> less MSK<6> than the full MSK<7> of corrupted and MSK<13> MSK<1> MSK<2> . "
5,5,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"Forget what global warming activists would lead you to believe – 2015 was not even close to the hottest year on record . Satellite temperature readings going back to 1979 show 1998 was by far the warmest year in the satellite era , followed by 2010 . 2015 comes in third . And these results are only for the period since 1979 .",fallacy of relevance,"Forget what global MSK<4> activists would lead you to believe – MSK<0> was not even close to the hottest MSK<1> on record . MSK<2> temperature readings going back to MSK<3> show 1998 was by far the MSK<4> MSK<1> in the MSK<2> era , followed by 2010 . MSK<0> comes in third . And these results are only for the period since MSK<3> . "
6,6,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"Yet we didn ’ t . A record El Nino resulting in less-than-record temperatures is another sign that global warming is not all that activists crack it up to be . Indeed , if a record strong El Nino can not bring global temperatures back to the warmth of 1998 , what can – and when will that be ? 18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",false causality,"Yet we didn ’ t . A MSK<0> MSK<1> MSK<2> resulting in less- than- MSK<0> MSK<3> is another sign that MSK<4> MSK<5> is not all that activists crack it up to be . Indeed , if a MSK<0> strong MSK<1> MSK<2> can not bring MSK<4> MSK<3> back to the MSK<5> of MSK<6> , what can – and when will that be ? 18 years after MSK<6> , MSK<4> MSK<5> still has not created the runaway MSK<5> we were told to expect . "
7,7,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"This past year saw what is likely the most powerful El Nino during the satellite temperature record . With a record El Nino , we should have experienced record high temperatures . Yet we didn ’ t . A record El Nino resulting in less-than-record temperatures is another sign that global warming is not all that activists crack it up to be . Indeed , if a record strong El Nino can not bring global temperatures back to the warmth of 1998 , what can – and when will that be ?",faulty generalization,"This past year saw what is likely the most powerful MSK<0> MSK<1> during the satellite MSK<2> MSK<3> . With a MSK<3> MSK<0> MSK<1> , we should have experienced MSK<3> high MSK<2> . Yet we didn ’ t . A MSK<3> MSK<0> MSK<1> resulting in less- than- MSK<3> MSK<2> is another sign that MSK<4> MSK<5> is not all that activists crack it up to be . Indeed , if a MSK<3> strong MSK<0> MSK<1> can not bring MSK<4> MSK<2> back to the MSK<5> of 1998 , what can – and when will that be ? "
8,8,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"Of course , it is not too difficult for activists to paint a picture of an exceptionally warm world – record El Nino or not – when they conveniently define “ the record ” as merely extending back to the late 1800s . Global warming activists do not extend “ the record ” back any further , they say , because it has only been since the late 1800s that we have had a global network of mercury thermometers . But we do have other reliable indicators of temperatures before the late 1800s , and the evidence shows temperatures have been warmer than today for most of the past several thousand years , including warmer-than-present temperatures for most of the human civilization time period . Scientists measuring oxygen isotopes from ice cores drilled in Greenland and Antarctica ( among other methods ) report that temperatures were significantly warmer than today for most of the past 10,000 years .",faulty generalization,"Of course , it is not too difficult for MSK<0> to paint a picture of an exceptionally MSK<1> world MSK<2> MSK<3> El Nino or not MSK<2> when they conveniently define MSK<4> the MSK<3> MSK<4> as merely MSK<5> back to the MSK<6> MSK<7> . MSK<8> MSK<1> MSK<0> do not MSK<5> MSK<4> the MSK<3> MSK<4> back any further , they say , because it has only been since the MSK<6> MSK<7> that we have had a MSK<8> network of mercury thermometers . But we do have other reliable indicators of MSK<9> before the MSK<6> MSK<7> , and the evidence shows MSK<9> have been MSK<1> than MSK<10> for most of the MSK<11> several MSK<14> MSK<12> , including MSK<1> - than - present MSK<9> for most of the human civilization time period . Scientists measuring oxygen isotopes from ice cores drilled in MSK<13> and MSK<13> ( among other methods ) report that MSK<9> were significantly MSK<1> than MSK<10> for most of the MSK<11> MSK<14> MSK<12> . "
9,9,https://www.forbes.com/sites/jamestaylor/2016/01/14/2015-was-not-even-close-to-hottest-year-on-record/?sh=7170b4ef5539,"In fact , it wasn ’ t even close . Update Jan. 25 , 2016 : As I predicted in this article , global warming activists have indeed made a full-blown public relations effort to claim 2015 was the warmest year on record . This calls for a little more discussion of the relative reliability of satellite temperature measurements , surface temperature measurements , and adjusted surface temperature measurements . National Oceanic and Atmospheric Administration ( NOAA ) instruments aboard NASA satellites use microwave frequencies to measure the radiance of the Earth .",ad hominem,"In fact , it wasn ’ t even close . Update Jan. 25 , MSK<5> : As I predicted in this article , global MSK<4> activists have indeed made a full- blown public relations effort to claim MSK<5> was the MSK<4> year on record . This calls for a little more discussion of the relative reliability of MSK<0> MSK<1> MSK<2> , MSK<3> MSK<1> MSK<2> , and adjusted MSK<3> MSK<1> MSK<2> . National Oceanic and Atmospheric Administration ( NOAA ) instruments aboard NASA MSK<0> use microwave frequencies to MSK<2> the radiance of the Earth . "
