,Unnamed: 0,source_article,logical_fallacies,masked_articles
0,0,"In June last year , a severe heatwave claimed over 1,000 lives in Karachi , Pakistan . Severe drought caused food shortages for millions of people in Ethiopia , with a lack of rainfall resulting in “ intense and widespread ” forest fires in Indonesia that belched out a vast quantity of greenhouse gas .",['intentional'],"In June last year , a MSK<0> heatwave claimed over 1,000 lives in MSK<2> , MSK<2> . MSK<0> drought caused food shortages for millions of people in Ethiopia , with a lack of rainfall resulting in MSK<1> intense and widespread MSK<1> forest fires in Indonesia that belched out a vast quantity of greenhouse gas . "
1,1,"Diminishing sea ice is causing major walrus herds to haul themselves out on to land . Arctic marine species , such as snailfish and polar cod , are being pushed out of the region by species coming from further south , attracted to the warming waters . A huge algal bloom off the west coast of North America harmed marine life and fisheries .",['intentional'],"Diminishing sea ice is causing major walrus herds to haul themselves out on to land . Arctic marine species , such as snailfish and polar cod , are being pushed out of the region by species coming from further south , attracted to the warming waters . A huge algal bloom off the west coast of North America harmed marine life and fisheries ."
2,2,A landmark report from the United Nations ’ scientific panel on climate change paints a far more dire picture of the immediate consequences of climate change than previously thought and says that avoiding the damage requires transforming the world economy at a speed and scale that has “ no documented historic precedent . ”,['fallacy of credibility'],A landmark report from the United Nations ’ scientific panel on climate change paints a far more dire picture of the immediate consequences of climate change than previously thought and says that avoiding the damage requires transforming the world economy at a speed and scale that has “ no documented historic precedent . ”
3,3,"The report “ is quite a shock , and quite concerning , ” said Bill Hare , an author of previous I.P.C.C . reports and a physicist with Climate Analytics , a nonprofit organization . “ We were not aware of this just a few years ago. ”",['fallacy of credibility'],"The report “ is quite a shock , and quite concerning , ” said Bill Hare , an author of previous I.P.C.C . reports and a physicist with Climate Analytics , a nonprofit organization . “ We were not aware of this just a few years ago. ”"
4,4,The World Coal Association disputed the conclusion that stopping global warming calls for an end of coal use .,['false dilemma'],The World Coal Association disputed the conclusion that stopping global warming calls for an end of coal use .
5,5,"In a statement , Katie Warrick , its interim chief executive , noted that forecasts from the International Energy Agency , a global analysis organization , “ continue to see a role for coal for the foreseeable future . ”",['fallacy of credibility'],"In a statement , Katie Warrick , its interim chief executive , noted that forecasts from the International Energy Agency , a global analysis organization , “ continue to see a role for coal for the foreseeable future . ”"
6,6,Refusing to approve the document would place the United States at odds with many nations and show it rejecting established academic science on the world stage .,['appeal to emotion'],Refusing to approve the document would place the United States at odds with many nations and show it rejecting established academic science on the world stage .
7,7,"“ Carbon taxes are political poison because they increase gas prices and electric rates , ” said Myron Ebell , who heads the energy program at the Competitive Enterprise Institute , an industry-funded Washington research organization , and who led the Trump administration ’ s transition at the Environmental Protection Agency .",['intentional'],"“ Carbon taxes are political poison because they increase gas prices and electric rates , ” said Myron Ebell , who heads the energy program at the Competitive Enterprise Institute , an industry-funded Washington research organization , and who led the Trump administration ’ s transition at the Environmental Protection Agency ."
8,8,"In addition , it said , the United States along with Bangladesh , China , Egypt , India , Indonesia , Japan , the Philippines and Vietnam are home to 50 million people who will be exposed to the effects of increased coastal flooding by 2040 , if 2.7 degrees of warming occur .",['equivocation'],"In addition , it said , the United States along with Bangladesh , China , Egypt , India , Indonesia , Japan , the Philippines and Vietnam are home to 50 million people who will be exposed to the effects of increased coastal flooding by 2040 , if 2.7 degrees of warming occur ."
9,9,"At 3.6 degrees of warming , the report predicts a “ disproportionately rapid evacuation ” of people from the tropics . “ In some parts of the world , national borders will become irrelevant , ” said Aromar Revi , director of the Indian Institute for Human Settlements and an author of the report . “ You can set up a wall to try to contain 10,000 and 20,000 and one million people , but not 10 million . ”",['faulty generalization'],"At 3.6 degrees of warming , the report predicts a “ disproportionately rapid evacuation ” of people from the tropics . “ In some parts of the world , national borders will become irrelevant , ” said Aromar Revi , director of the Indian Institute for Human Settlements and an author of the report . “ You can set up a wall to try to contain 10,000 and 20,000 and one million people , but not 10 million . ”"
10,10,“ Welcome to climate chaos .,"['faulty generalization', 'intentional', 'appeal to emotion']",“ Welcome to climate chaos .
11,11,"Scribbler and Beckwith said the anomalies were most likely precipitated by man-made climate change , which caused the jet stream to slow down and create larger waves .",['faulty generalization'],"Scribbler and Beckwith said the anomalies were most likely precipitated by man-made climate change , which caused the jet stream to slow down and create larger waves ."
12,12,Something that would absolutely not happen in a normal world .,['fallacy of relevance'],Something that would absolutely not happen in a normal world .
13,13,"Meanwhile , Mr Beckwith confirmed the changes would usher in a sustained period of “ climate system mayhem ” which could prove difficult to resolve .",['appeal to emotion'],"Meanwhile , Mr Beckwith confirmed the changes would usher in a sustained period of “ climate system mayhem ” which could prove difficult to resolve ."
14,14,We must declare a global climate emergency .,['appeal to emotion'],We must declare a global climate emergency .
15,15,There ’ s very strange things going on on planet Earth right now . ”,['fallacy of logic'],There ’ s very strange things going on on planet Earth right now . ”
16,16,"`` When I tell people what to expect , I say , 'Well , imagine the opening scene of The Sound of Music was filmed outside of Reno , Nevada , ' `` he says . ``","['appeal to emotion', 'faulty generalization']","`` When I tell people what to expect , I say , 'Well , imagine the opening scene of The Sound of Music was filmed outside of Reno , Nevada , ' `` he says . ``"
17,17,"Some plants and wildlife , taking their thermal cue , have been able to adapt in kind . Some are thriving . Others are being left behind .",['appeal to emotion'],"Some plants and wildlife , taking their thermal cue , have been able to adapt in kind . Some are thriving . Others are being left behind ."
18,18,"`` You can see it visually , '' says Rebecca Irwin , an ecologist from North Carolina State University . `` We have less flowers . ''",['fallacy of relevance'],"`` You can see it visually , '' says Rebecca Irwin , an ecologist from North Carolina State University . `` We have less flowers . ''"
19,19,"`` We are projecting that all of these meadows are going to look like that , '' Harte says , pointing to the gnarled plant . `` We are homogenizing the planet . ''",['fallacy of relevance'],"`` We are projecting that all of these meadows are going to look like that , '' Harte says , pointing to the gnarled plant . `` We are homogenizing the planet . ''"
20,20,"But in other parts of Antarctica , similar shelves are holding back enormous amounts of ice , and scientists fear that their future collapse could dump enough ice into the ocean to raise the sea level by many feet .",['appeal to emotion'],"But in other parts of Antarctica , similar shelves are holding back enormous amounts of ice , and scientists fear that their future collapse could dump enough ice into the ocean to raise the sea level by many feet ."
21,21,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",['ad populum'],"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors ."
22,22,"Osaka city authorities are investing in other infrastructure to mitigate the effects of flooding , but public education is also vital , according to Toshikazu Nakaaki of the Osaka municipal government ’ s environment bureau .",['fallacy of relevance'],"Osaka city authorities are investing in other infrastructure to mitigate the effects of flooding , but public education is also vital , according to Toshikazu Nakaaki of the Osaka municipal government ’ s environment bureau ."
23,23,But the same coastline that draws locals to its scenic vistas is threatening to slowly engulf the historic city as sea levels rise due to global warming .,['appeal to emotion'],But the same coastline that draws locals to its scenic vistas is threatening to slowly engulf the historic city as sea levels rise due to global warming .
24,24,"Image modelling shows that swaths of Osaka – the commercial heart of a region whose GDP is almost as big as that of the Netherlands – would disappear beneath the water in a 3C world , threatening the local economy and almost a third of the wider region ’ s 19 million residents .",['ad populum'],"Image modelling shows that swaths of Osaka – the commercial heart of a region whose GDP is almost as big as that of the Netherlands – would disappear beneath the water in a 3C world , threatening the local economy and almost a third of the wider region ’ s 19 million residents ."
