,claim,labels,pros,cons
0,Programs like Alcoholics Anonymous are the best way to battle addiction.AA is not effective.,['false causality'],[nan],[nan]
1,"Al-Ghazali’s Argument (Kalam Cosmological Argument by Dr. William Ln. Craig)

1. Whatever begins to exist has a cause. 
2. The universe began to exist. 
3. Therefore, the universe has a cause. 

This cause must be a transcendent, uncaused, immaterial, nonphysical, and unimaginably powerful, personal being.

Universe is defined as all space-time reality.P3. The cause of the universe must be itself uncaused because an infinite series of causes is impossible. It is the Uncaused First Cause.",['false causality'],[nan],"["" If time was circular, some event E would have to be before itself and after itself at the same time. This is absurd.\nClick here to see the claims underneath.\n  Even if a starting point wouldn't follow necessarily, it still would be the preferable option, because it avoids unnecessary ad hocs.""]"
2,The burden of proof for God's existence has not been met.The burden of proof for a universe created from nothing has not been met.,"['fallacy of extension', 'fallacy of relevance']",[nan],"["" This is an argument from fallacy, simply showing a fallacy within a sub-argument does not suffice to actually address any of the argument's merits.\nClick here to see the claims underneath.\n  You could argue that the original argument is a red herring from the start. You can claim that the existence of the universe itself and the laws of cause and effect are enough evidence for an ultimate cause, i.e. God.\n Not a claim\nThis is a comment responding to the author of the parent claim."", nan, "" This is an argument from fallacy, simply showing a fallacy within a sub-argument does not suffice to actually address any of the argument's merits.\nClick here to see the claims underneath.\n  You could argue that the original argument is a red herring from the start. You can claim that the existence of the universe itself and the laws of cause and effect are enough evidence for an ultimate cause, i.e. God."", ""   This is an argument from fallacy, simply showing a fallacy within a sub-argument does not suffice to actually address any of the argument's merits.\nClick here to see the claims underneath.\n  You could argue that the original argument is a red herring from the start. You can claim that the existence of the universe itself and the laws of cause and effect are enough evidence for an ultimate cause, i.e. God.\n Not a claim\nThis is a comment responding to the author of the parent claim.""]"
3,"Each of the things of our experience has a cause at any moment during which it exists. (Everything we see is being caused as we see it)Some parts of nature are very interactive and some parts of nature are very stable, but continuation of existence does not require an unchanging form. Just because something changes enough that humans might choose different labels or descriptions for it does not mean that anything ceased to exist. Composite things form and break down. These are well understood natural events, not mysterious supernatural events.",['fallacy of relevance'],[nan],[nan]
4,"The US is not the worst in the Western world for mass shooting frequency or death rate.This definition of 'mass shootings' only considers how many people were killed, not how many people were shot, thus only shows a fraction of the picture.",['fallacy of relevance'],[nan],[nan]
5,Astrology is a fun practice which brings joy and entertainment to people's lives.The persistence of astrology over the years suggests that it adds value to people's lives.,['fallacy of relevance'],[nan],[nan]
6,"Improving situation slightly (some would register) is preferable to not improving situation at all (none would be registered as it is illegal).Legalizing sex work, just as other legislative changes, have advantages and disadvantages. If the sex workers are unwilling to register, the advantages melt away, resulting in relatively more disadvantage in total.",['fallacy of relevance'],[nan],[nan]
7,An anarchist society is preferable.Anarchy isn't a type of society.,['fallacy of relevance'],[nan],[nan]
8,"The distinction between Act and Potency, combined with the visible fact of change in our world, entails the existence of an ""Unmoved Mover,"" (aka. uncaused causer, un-actualized actualizer) which is God.God, with the qualities of Classical Theism, is not necessarily the root cause of the universe.",['fallacy of relevance'],[nan],[nan]
9,P3. The cause of the universe must be unimaginably powerful since it created all matter and energy.The net energy of the universe is zero. Not much power there.,['fallacy of relevance'],[nan],"[' Yes it does. The grandparent literally said ""powerful since it created all matter and ENERGY"".\nClick here to see the claims underneath.\n ']"
10,Quantum Mechanics supports the existence of free will.Bell's Inequality Theorem establishes that we must either reject an objective reality or reject determinism.,['fallacy of relevance'],[nan],[nan]
11,Teaching topics on gender and sexuality would require teachers to learn things that they may not have otherwise considered. This can make them more knowledgeable and compassionate educators.It is not compassionate to indoctrinate children against traditional family life.,['fallacy of relevance'],[nan],[nan]
