,claim,labels
0,"""Don't listen to Mr. Fingers when he says walk in the hallways. How can you trust someone who wears bow ties?""",['ad hominem']
1,We cannot listen to John’s opinion on global warming because he is a tree hugger.,['ad hominem']
2,"""I can't trust that doctor's advice on how to raise my child. He has never been a mother.
This is an example of",['ad hominem']
3,"My opponent raises a good point, but can we really trust him? I mean, he moved to this town only two years ago and everyone knows that his wife left him.",['ad hominem']
4,"Oh, please. What would you know about labor laws? You don’t even have a job.",['ad hominem']
5,"""The Senator must be wrong on the issue of taxes because he's such a jerk to the people who work for him.""",['ad hominem']
6,"You never even finished law school, so why should I trust you to watch my children?",['ad hominem']
7,"Only a selfish, non-caring person would believe that this is ok.",['ad hominem']
8,"""Bernie Saunders wouldn't make a good president because he looks like a sad muppet.""",['ad hominem']
9,"Bill says Jenny would make a good class president, but Bill makes bad grades, so we shouldn’t vote for Jenny.",['ad hominem']
10,"Dr. Fauci says we need to wear masks, but Dr. Fauci is the oldest, meanest doctor around. I’m sure what he says isn’t true at all.",['ad hominem']
11,"Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong.",['ad hominem']
12,Look at that face! Would anyone vote for that? Can you imagine that as the face of our next president?,['ad hominem']
13,"My opponent is an untrustworthy liar and an idiot. Therefore, you should believe me.",['ad hominem']
14,“How can you argue your case for vegetarianism when you are enjoying your steak?”,['ad hominem']
15,"If someone told you, ""Kyra doesn't know anything about science because she likes weird music,"" what logical fallacy are they using?",['ad hominem']
16,"My opponent raises a good point, but can we really trust him? I mean, he moved to this town only two years ago, and everyone knows that his wife left him.",['ad hominem']
17,"Oh, please. What would you know about labor laws? You don't even have a job.",['ad hominem']
18,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That my be, but you're such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64oz of soda yesterday!",['ad hominem']
19,There's no way you know this - you're clearly too young to understand!,['ad hominem']
20,"Nicholas - ""An apple is a vegetable."" Alexis - ""Don't listen to Nicholas; he is failing AP Language""",['ad hominem']
21,My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry’s each night!,['ad hominem']
22,"The new vice president has never gone to public school, so he can never connect to the middle and lower class.",['ad hominem']
23,This is why a woman shouldn’t do a man's job,['ad hominem']
24,Cardenas roots for a British football team. Clearly he’s unfit to be a chef at the new restaurant,['ad hominem']
25,All people from Pinole are liars,['ad hominem']
26,Don't listen to her advice about math. She doesn't even know how to tie her own shoes!,['ad hominem']
27,"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed?",['ad hominem']
28,You can't believe Jack when he says there is a God because he doesn't even have a job.,['ad hominem']
29,"Person 1:
I am for raising the minimum wage in our state.
Person 2:
She is for raising the minimum wage, but she is not smart enough to even run a business.",['ad hominem']
30,"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed?
http://www.funtrivia.com",['ad hominem']
31,"Mr. Gough supports the cell phone ban and he's an idiot, so we should let teachers keep their cell phones.",['ad hominem']
32,"“Oh, please. What would you know about labor laws? You don’t even have a job.”",['ad hominem']
33,Students who want cell phones in school have no idea what they're talking about.,['ad hominem']
34,"Teachers claim that cell phones distract students, but they only say that because teachers have no lives.",['ad hominem']
35,You're wrong because you're ugly!,['ad hominem']
36,"This is an example of what?
""Attacks the arguer instead of the argument""",['ad hominem']
