,text,types of fallacy
385,"Science provides a qualified justification for atheism, which is that deities are not falsifiable, testable, or empirical; also, it is for a qualified version of atheism, one that is unsure of anything that can't be empirically falsified or tested.Hence, it is not true that The existence of deities is testable through evidence of otherwise inexplicable events in history.",['false causality']
635,"The problem of evil implies that God does not exist.Hence, it is not true that Moral realism is required for the ""problem of evil"" to exist, but is also incompatible with atheism. Therefore, the problem of evil is self-defeating and can be argued to actually provide evidence of God's existence.",['fallacy of credibility']
425,"Identity politics prioritize personal experiences over factual evidence. This tends to be less convincing to general society.Hence, it is true that Identity politics advocates may highlight rare or anecdotal cases of discrimination to support their agenda.",['intentional']
420,"There should be no limits on freedom of speech.Hence, it is true that Limiting speech is a slippery slope and it is hard to know how far we allow limits. If we begin cherry picking what is and isn't acceptable then we will never know when to stop.","['intentional', 'faulty generalization']"
369,"Some believe LGBTQ+ lifestyles are immoral. Thus governments should, in fact, protect conversion therapy for the sake of these persons.Hence, it is true that Humans are essentially heterosexual. Choosing to act against their nature is immoral.",['faulty generalization']
133,"There may be a limit on democratic countries' ability to deal with new refugees, who are incapable of working, or kids who won't grow up in the new host country to eventually pay taxes.Hence, it is true that Many democratic countries do not have the resources to accommodate immigrants.","['false dilemma', 'intentional']"
78,"Ur-Fascism is contradictory to itself. These contradictions lead to a confusing definition of fascism allowing for anyone to be opposed by Antifa as having fascistic tendencies/ideologies.Hence, it is true that The sixth characteristic of fascism according to Ur-Fascism - appealing to the frustrated middle class - is exactly what Antifa is doing as well. Typically the distribution of wealth in most societies gravitates towards the middle class being the biggest population, so appealing to the middle class is what any idea needs to do in order to survive and grow. This cannot be an indication of fascism as all ideas, fascist or otherwise, would need support from the middle class in order to grow.",['appeal to emotion']
613,"The Bible exists, but much of its authorship is unknown, even as to the New Testament. Without knowing the authors, we can never know what their motivations were for writing it.Hence, it is not true that No matter what the authorship is, it is the content of the Bible that speaks for itself.",['circular reasoning']
1004,"Lab-Grown Meat is a suitable replacement for Factory Farming.Hence, it is not true that Lab-grown meat is unnatural.",['fallacy of credibility']
153,"Many examples of useless organs/body features exist.Hence, it is not true that Most examples are simply appeals to ignorance fallacy. Arguing that because we don't know a use, doesn't make it useless. Most assume that we know more about the human body than we actually do.",['intentional']
869,"God's existence can be understood by rationality.Hence, it is true that As all the man made Gods are of the' irrational, supernatural occult' they are the opposite to rationality and therefore could not be understood or explained by any process of logic.",['fallacy of logic']
326,"Even if Christianity were proven to be true, it would not be moral to follow it. If the God of the Bible is accurately depicted in the text, it would be morally necessary to oppose such a being.Hence, it is not true that If Christianity were proven true, then all things including all morals and the true ""right and wrong"" would have been created by the Christian God. So it would be morally right to follow God's every command.","['equivocation', 'fallacy of logic']"
95,"If torture is banned, then there will be no torture.Hence, it is not true that Although 144 countries have ratified the Convention against Torture, a 2007 report by Amnesty International noted cases of state-sponsored torture or other inhumane treatment in 102 of the 153 countries included.",['faulty generalization']
284,"Being ""outdated"" isn't a negative in itself. Some old institutions are useful.Hence, it is true that Dismissing monarchy as ""outdated"" is an example of the appeal to novelty fallacy.",['fallacy of credibility']
447,"Many physical constants appear finely tuned for scientific discovery.Hence, it is true that The laws of physics \(and nature in general\) can be described by mathematics.",['fallacy of logic']
584,"Internet companies are wrong in denying services to white supremacists.Hence, it is not true that Facebook and Twitter are legally obliged to delete accounts affiliated with terrorism.",['fallacy of credibility']
739,"Banning religious traditions alienates religious people and the rest of the society.Hence, it is not true that There has to be a limit to this. Some religions in the past and even today include things we consider unacceptable now, like human sacrifice, witch hunts, and slavery.","['fallacy of extension', 'equivocation']"
580,"The absence of a welfare state is immoral.Hence, it is not true that To call the absence of something immoral is to raise the requirement of positive obligations. Positive obligations are most infamously contained in the Marxist claim ""from each according to his ability, to each according to his need,"" which have led to the greatest atrocities in the history of the world.",['faulty generalization']
155,"Gender stereotyping can be damaging to brands. Challenging traditional gender boundaries will create more effective advertisements and prove beneficial to companies.Hence, it is true that Advertisements that objectify women have a significant negative effect on a brand's reputation and consumers’ likelihood of making a purchase.",['appeal to emotion']
859,"Running ad-blockers is equivalent to freeloading off of media publications because it blocks their revenue stream.Hence, it is not true that If websites are struggling financially because of ad blockers, they can just force users to disable their ad blocker. So if ad blockers are available, it must be that they do not cause considerable harm to the website, and therefore using them is not ""freeloading"".",['fallacy of extension']
812,"Performative activism on social media is harmful.Hence, it is not true that Activism on social media is not performative or harmful because it still expresses solidarity for the cause in question.",['false causality']
602,"Religious and theological arguments provide strong evidence of the existence of God.Hence, it is true that Holy Scripture offers proofs and evidence for the existence of God.",['circular reasoning']
565,"Lack of respect for sovereigntyHence, it is not true that Mexico has previously permitted the USA to use drones in their country. It is likely that will be amenable to the continued use of these drones.",['faulty generalization']
554,"It was a good choice simply because that's what people voted for.Hence, it is not true that Statistically speaking, Pro-Brexit posts are significantly more likely to contain spelling and grammatical errors; inferring a trend towards lower literacy among proponents of this perspective.",['ad hominem']
874,"In 2010 the German Pirate Party tried Liquid Democracy but it was not successful.Hence, it is not true that This test was technically sophisticated and highly idealistic undertaking but the design was poor. To encourage participation, usability and sophistication have to be balanced. Thus, this failure need not be a total failure of liquid democracy, but a failure of their take on it.",['intentional']
1173,"Merkel has failed to adequately address environmental issues.Hence, it is not true that Merkel has prioritised the banning of single-use plastics(Germany is banning the sale of single-use plastic straws, cotton buds and food containers, bringing it in line with a European Union directive intended to reduce the amount of plastic garbage that pollutes the environment.\n\nThe Cabinet agreed Wednesday to end the sale of plastics including single-use cutlery, plates, stirring sticks and balloon holders, as well as polystyrene cups and boxes by July 3, 2021.), one of the most significant environmental threats.",['fallacy of extension']
702,"The non-existence of God is consistent with empirical evidence.Hence, it is true that There is an absence of empirical evidence proving the existence of God.",['fallacy of logic']
1069,"Some studies have found benefits for homeopathy.Hence, it is true that There are many homeopathic options that work and are scientifically proven, the issue is the pharmaceutical companies spend billions making pills and then use marketing power to spread claimed benefits while blushing over negative side effects. If the insurance companies opened up options to use homeopathic resources, the ones that work would quickly surface while the snake oil options would also be exposed by open market selection and public reviews of the results.",['ad hominem']
140,"The Quran is the only scripture instructing of and recognizing rigor methodologically.Hence, it is true that The Quran goes further to ask for evidence even about claims of the unseen and of metaphysics.",['appeal to emotion']
590,"Holy Scripture offers proofs and evidence for the existence of God.Hence, it is true that The Book of Mormon provides reasonable evidence of the existence of God.",['circular reasoning']
1002,"Eating meat is wrong.Hence, it is true that A vegetarian diet is healthier than an omnivorous diet.",['false dilemma']
795,"New Atheism has been a failure.Hence, it is not true that New Atheists have been tremendously successful in increasing the number of atheists across the world.",['fallacy of logic']
988,"1 The Supernatural does not exist.""God"" is defined as a Supernatural being.Hence, it is not true that If the Supernatural does not exist, then Black Holes, singularities, Dark Matter, Dark Energy, consciousness, feelings, emotions, thinking process, do not exist either, as they cannot be defined or explained in the natural.",['fallacy of logic']
431,"Objective morality exists across cultures; there are some actions that are universally taboo(However, some anthropologists have argued that a few behaviors are universally taboo. These may include incest, cannibalism, and killing one’s parents. The psychiatrist Sigmund Freud argued these were likely universal taboos.).Hence, it is true that Morality is actually extremely objective. Most people know the difference between right and wrong. It's just a matter of whether they care or not.",['fallacy of logic']
253,"There are better alternatives to helping refugees than for high-income countries to take them in.Hence, it is true that High-income countries could pay lower-income countries that are geographically closer to the refugees' home countries to take in refugees.",['fallacy of credibility']
1029,"People in positions of authority should resign when accused of sexual assault.Hence, it is not true that False accusations of sexual assault could be used as a weapon to denigrate people.",['fallacy of credibility']
249,"Parents have a right to educate their children in the faith of their choice. Without faith based education, this right is compromised.Hence, it is not true that Parents may pass their religion on to their children, but they do not have the right to let religion get in the way of or mixed up with education. They should happen as separately as possible, as faith jeopardizes the logical and critical thinking required by actual knowledge.",['circular reasoning']
1119,"Marriage was once the pillar of society. The state would be turning its back on tradition and stability by removing benefits linked to marriage.Hence, it is not true that Appeals to tradition are a type of fallacious thinking, and should not be considered in the discussion of marriage.",['fallacy of credibility']
1144,"Criminals can exercise free will while still being in need of rehabilitation.Hence, it is not true that ""Free will"" means that if a person acts in an anti-social way, that person has voluntarily chosen wrongdoing. This is not compatible with the view that their decision-making faculties are damaged and in need of repair. In the latter view, there is no free will involved, as choices are made by the deterministic program running in the brain, which is deemed defective and has to be rewritten.",['fallacy of logic']
75,"Banning one type of weapon ignores the underlying causes of violence.  It doesn't help anyone to trade gun deaths for bomb deaths.Hence, it is true that Regardless of the weapon type, as long as ammunition isn't regulated mass casualties will remain.",['fallacy of relevance']
1064,"Keir Starmer's policies and beliefs make him the ideal catch-all candidate.Hence, it is not true that Keir Starmer's policies and beliefs are unpopular.",['appeal to emotion']
88,"The Hippocratic Oath is the oldest oath in Western medicine, and explicitly instructs physicians to do no harm in their practices.Hence, it is not true that Those administering torture are unlikely to be trained as medical professionals, so they are unlikely to have taken the Hippocratic Oath.",['circular reasoning']
242,"Just because governments do not have the right to impose population control does not mean that they should not have this right.Hence, it is not true that Government-imposed population control methods are authoritarian in nature and contrary to the concept of individual liberty.",['faulty generalization']
751,"Polls suggest most American citizens support strict gun control legislation that is enforced fairly.Hence, it is not true that Appealing to popularity is logically problematic.",['faulty generalization']
784,"If adaptation is the foundation for morality, then humanity’s set of moral values and duties could have been wildly different. Thus, adaptation may be considered an inadequate foundation for morality.Hence, it is not true that That only applies to 'our' modern moral code. The morality of a different world not coinciding with what we find moral is to be expected, this however doesn't mean that it is objectively immoral. Just that we don't find it moral.",['fallacy of credibility']
270,"He has an inarticulate speaking style.Hence, it is true that Trump frequently reverts to ad hominem replies to questions, suggesting that he is unable to think of a substantive reply.",['ad hominem']
1,"Both sayings are equally harmful, as they each reduce complex issues to hollow and divisive platitudes.Hence, it is true that It's not only black people who have suffered hardship. Other races, including white people, have had their fair share of hardship. Singling out ""black lives"" is unfair.",['fallacy of relevance']
897,"Without a burden of proof, vaccine rollout should not be suspended. Correlation does not imply causation.Hence, it is true that The earliest version of the polio vaccine actually caused polio in one individual out of every 2.4 million doses given. In that case, the spinal fluid was analyzed to determine whether or not the specific strain from the vaccine caused the disease or not. No such biomarkers exist to prove that a COVID-19 vaccine caused any specific side effect.",['faulty generalization']
250,"The existence of supernatural events have not been proven, and to assume something does happen without it being proven with good evidence is by definition unreasonable.Hence, it is not true that There is a plethora of anecdotal evidence that supernatural things happen.","['false causality', 'intentional', 'circular reasoning']"
842,"Modern science's understanding of the brain suggests it is deterministically linked to human action.Hence, it is not true that The Cogito Model of free will argues that random events(The Cogito Model of human freedom locates randomness \(either ancient chance or modern quantum indeterminacy\) in the mind, in a way that breaks the causal chain of strict physical determinism, while doing no harm to responsibility.\n\nThe Cogito Model combines indeterminacy - first microscopic quantum randomness and unpredictability, then ""adequate"" or statistical determinism and macroscopic predictability, in a temporal sequence that creates new information.) occur within human brains and bodies, and these random events can be used by a human to choose between two or more actions.",['intentional']
73,"The world is becoming freer through democracy.Hence, it is not true that Living in a democracy does not guarantee freedom.",['intentional']
683,"The complexity and precision found in nature and in living organisms indicate God's existence as the creator of all things.Hence, it is not true that Intelligent design is rejected by the scientific community as pseudoscience.",['fallacy of credibility']
