Original Name,Logical Form,Parent Fallacy,Masked Logical Form,Understandable Name,Description,Source for Logical Form
faulty generalization,Sample S is taken from population P. Sample S is a very small part of population P. Conclusion C is drawn from sample S and applied to population P.,,<MSK1> is taken from <MSK2>. <MSK1> is a very small part of <MSK2>. <MSK3> is drawn from <MSK2> and applied to <MSK1>.,faulty generalization,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,https://www.logicallyfallacious.com/logicalfallacies/Hasty-Generalization
false causality,"A occurred, then B occurred.
Therefore, A caused B.
 ",,"<MSK1> occurred, then <MSK2> occurred.
Therefore, <MSK1> caused <MSK2>.",false causality,statement that jumps to a conclusion implying a causal relationship without supporting evidence,https://en.wikipedia.org/wiki/Post_hoc_ergo_propter_hoc
circular reasoning,"X is true because of Y.

Y is true because of X.",,"<MSK1> is true because of <MSK2>.

<MSK2> is true because of <MSK1>.",circular reasoning,when the end of an argument comes back to the beginning without having proven itself.,https://www.logicallyfallacious.com/logicalfallacies/Circular-Reasoning
ad populum,"A lot of people believe X.Therefore, X must be true.",,"A lot of people believe <MSK1>.Therefore, <MSK1> must be true.",appeal to popularity,a fallacious argument which is based on affirming that something is real or better because the majority thinks so,https://www.logicallyfallacious.com/logicalfallacies/Appeal-to-Common-Belief
ad hominem,"Person 1 is claiming Y.

Person 1 is a moron.

Therefore, Y is not true.",,"<MSK1> is claiming <MSK2>.

<MSK1> is a moron.

Therefore, <MSK2> is not true.",personal attack," instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",https://www.logicallyfallacious.com/logicalfallacies/Ad-Hominem-Abusive
fallacy of logic,"If A is true, then B is true. B is true. Therefore, A is true.",,"If <MSK1> is true, then <MSK2> is true.<MSK2> is true. Therefore, <MSK1> is true.",logical error,an error in the logical structure of an argument.,https://en.wikipedia.org/wiki/Formal_fallacy
appeal to emotion,"Claim X is made without evidence. In place of evidence, emotion is used to convince the interlocutor that X is true.",,"<MSK1> is made without evidence. In place of evidence, emotion is used to convince the interlocutor that <MSK1> is true.",appeal to emotion,manipulation of the recipient's emotions in order to win an argument,https://www.logicallyfallacious.com/logicalfallacies/Appeal-to-Emotion
false dilemma,Either X or Y is true.,,Either <MSK1> or <MSK2> is true.,excluding viable alternatives,presenting only two options or sides when there are many options or sides.,https://www.logicallyfallacious.com/logicalfallacies/False-Dilemma
equivocation,"Term X is used to mean Y in the premise.
Term X is used to mean Z in the conclusion.",,"<MSK1> is used to mean <MSK2> in the premise.
<MSK1> is used to mean <MSK3> in the conclusion.",use of ambiguous language,"when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument.",https://www.logicallyfallacious.com/logicalfallacies/Equivocation
fallacy of extension,"Person 1 makes claim Y. Person 2 restates person 1’s claim (in a distorted way). Person 2 attacks the distorted version of the claim. Therefore, claim Y is false.",,"<MSK1> makes claim <MSK2>. <MSK3> restates <MSK2> (in a distorted way). <MSK3> attacks the distorted version of the claim. Therefore, <MSK2> is false.",exaggerating,attacking an exaggerated or caricatured version of your opponent's position.,https://www.logicallyfallacious.com/logicalfallacies/Strawman-Fallacy
fallacy of relevance,"It is claimed that X implies Y, whereas X is unrelated to Y",,"It is claimed that <MSK1> implies <MSK2>, whereas <MSK1> is unrelated to <MSK2>",irrelevant argument,introducing premises or conclusions that have nothing to do with the subject matter.,Self
fallacy of credibility,"Person 1 makes claim Y. Person 2 claims Person 1 is not a credible source regarding claim Y. Therefore, Y is false",,"<MSK1> makes <MSK2>. <MSK3> claims <MSK1> is not a credible source regarding <MSK2>. Therefore, Y is false",attacking the character of the speaker,attempts to disprove an argument by attacking the character of the speaker.,Self
intentional,Person 1 knows claim X is incorrect. They still claim that X is correct using an incorrect argument,,<MSK1> knows <MSK2> is incorrect. They still claim that <MSK1> is correct using an incorrect argument,intentionally wrong argument,some intentional (sometimes subconscious) action/choice to incorrectly support an argument,
tu quoque,"Person 1 is claiming that Y is true, but person 1 is acting as if Y is not true. Therefore, Y must not be true.",ad hominem,"<MSK1> is claiming that <MSK2> is true, but <MSK1> is acting as if <MSK2> is not true. Therefore, <MSK2> must not be true.",,,
false analogy,"X is like Y. Y has property P. Therefore, X has property P. (but X really is not too much like Y)",fallacy of logic,"X is like Y. Y has property P. Therefore, X has property P. (but X really is not too much like Y)",,,
false equivalence,"Thing 1 and thing 2 both share characteristic A. Therefore, things 1 and 2 are equal.",fallacy of relevance,"<MSK1> and <MSK2> both share <MSK3>. Therefore, <MSK1> and <MSK2> are equal.",,,
affirming the consequent,"If P then Q. Q. Therefore, P.",fallacy of logic,"If <MSK1> then <MSK2>. <MSK2>. Therefore, <MSK1>.",,,
slippery slope,"If A, then B, then C, ... then ultimately Z!",faulty generalization,"If <MSK1>, then <MSK2> ... then ultimately <MSK3>!",,,
gambler's fallacy,Situation X is purely random. Situation X resulted in Y. Y is less likely to be the result next time.,false causality,<MSK1> is purely random. <MSK1> resulted in <MSK2>. <MSK2> is less likely to be the result next time.,,,
